; 11/28/95		14:29:18
	dw	monschr124b		; BitImage data (back)
	db	106			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons012$:
	db	012			; old number = 125
	db	060			; hit point(max)
	db	045			; attack point
	db	050			; defence ratio
	db	070			; quick ratio
	db	080			; special ability
	db	MUSHI_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	160			; experience value
	db	077h			; Monster yx size
	dw	monschr125		; BitImage data (front)
	dw	monschr125b		; BitImage data (back)
	db	093			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00101010b, 01000011b, 00111000b, 11110000b
	db	01000011b, 00101000b, 00000010b, 00000000b

mons013$:
	db	013			; old number = 112
	db	040			; hit point(max)
	db	035			; attack point
	db	030			; defence ratio
	db	050			; quick ratio
	db	020			; special ability
	db	MUSHI_TYPE
	db	POISON_TYPE
	db	255			; obtain ratio
	db	052			; experience value
	db	055h			; Monster yx size
	dw	monschr112		; BitImage data (front)
	dw	monschr112b		; BitImage data (back)
	db	040			; skill 1
	db	081			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons014$:
	db	014			; old number = 113
	db	045			; hit point(max)
	db	025			; attack point
	db	050			; defence ratio
	db	035			; quick ratio
	db	025			; special ability
	db	MUSHI_TYPE
	db	POISON_TYPE
	db	120			; obtain ratio
	db	071			; experience value
	db	055h			; Monster yx size
	dw	monschr113		; BitImage data (front)
	dw	monschr113b		; BitImage data (back)
	db	106			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons015$:
	db	015			; old number = 114
	db	065			; hit point(max)
	db	080			; attack point
	db	040			; defence ratio
	db	075			; quick ratio
	db	045			; special ability
	db	MUSHI_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	159			; experience value
	db	077h			; Monster yx size
	dw	monschr114		; BitImage data (front)
	dw	monschr114b		; BitImage data (back)
	db	031			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100100b, 01000011b, 00011000b, 11000000b
	db	11000011b, 00001000b, 00000110b, 00000000b

mons016$:
	db	016			; old number = 036
	db	040			; hit point(max)
	db	045			; attack point
	db	040			; defence ratio
	db	056			; quick ratio
	db	035			; special ability
	db	000
	db	HIKOU_TYPE
	db	255			; obtain ratio
	db	055			; experience value
	db	055h			; Monster yx size
	dw	monschr36		; BitImage data (front)
	dw	monschr36b		; BitImage data (back)
	db	016			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00101010b, 00000011b, 00001000b, 11000000b
	db	01000011b, 00001100b, 00001010b, 00000000b

mons017$:
	db	017			; old number = 150
	db	063			; hit point(max)
	db	060			; attack point
	db	055			; defence ratio
	db	071			; quick ratio
	db	050			; special ability
	db	000
	db	HIKOU_TYPE
	db	120			; obtain ratio
	db	113			; experience value
	db	066h			; Monster yx size
	dw	monschr150		; BitImage data (front)
	dw	monschr150b		; BitImage data (back)
	db	016			; skill 1
	db	028			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00101010b, 00000011b, 00001000b, 11000000b
	db	01000011b, 00001100b, 00001010b, 00000000b

mons018$:
	db	018			; old number = 151
	db	083			; hit point(max)
	db	080			; attack point
	db	075			; defence ratio
	db	091			; quick ratio
	db	070			; special ability
	db	000
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	172			; experience value
	db	077h			; Monster yx size
	dw	monschr151		; BitImage data (front)
	dw	monschr151b		; BitImage data (back)
	db	016			; skill 1
	db	028			; skill 2
	db	098			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00101010b, 01000011b, 00001000b, 11000000b
	db	01000011b, 00001100b, 00001010b, 00000000b

mons019$:
	db	019			; old number = 165
	db	030			; hit point(max)
	db	056			; attack point
	db	035			; defence ratio
	db	072			; quick ratio
	db	025			; special ability
	db	000
	db	000
	db	255			; obtain ratio
	db	057			; experience value
	db	055h			; Monster yx size
	dw	monschr165		; BitImage data (front)
	dw	monschr165b		; BitImage data (back)
	db	033			; skill 1
	db	039			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00101111b, 10001000b, 11001001b
	db	11000010b, 00001000b, 00000010b, 00000000b

mons020$:
	db	020			; old number = 166
	db	055			; hit point(max)
	db	081			; attack point
	db	060			; defence ratio
	db	097			; quick ratio
	db	050			; special ability
	db	000
	db	000
	db	090			; obtain ratio
	db	116			; experience value
	db	066h			; Monster yx size
	dw	monschr166		; BitImage data (front)
	dw	monschr166b		; BitImage data (back)
	db	033			; skill 1
	db	039			; skill 2
	db	098			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01111111b, 10001000b, 11001001b
	db	11000010b, 00001000b, 00000010b, 00000000b

mons021$:
	db	021			; old number = 005
	db	040			; hit point(max)
	db	060			; attack point
	db	030			; defence ratio
	db	070			; quick ratio
	db	031			; special ability
	db	000
	db	HIKOU_TYPE
	db	255			; obtain ratio
	db	058			; experience value
	db	055h			; Monster yx size
	dw	monschr05		; BitImage data (front)
	dw	monschr05b		; BitImage data (back)
	db	064			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00101010b, 00000011b, 00001000b, 11000000b
	db	01000010b, 00001100b, 00001010b, 00000000b

mons022$:
	db	022			; old number = 035
	db	065			; hit point(max)
	db	090			; attack point
	db	065			; defence ratio
	db	100			; quick ratio
	db	061			; special ability
	db	000
	db	HIKOU_TYPE
	db	090			; obtain ratio
	db	162			; experience value
	db	077h			; Monster yx size
	dw	monschr35		; BitImage data (front)
	dw	monschr35b		; BitImage data (back)
	db	064			; skill 1
	db	045			; skill 2
	db	043			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00101010b, 01000011b, 00001000b, 11000000b
	db	01000010b, 00001100b, 00001010b, 00000000b

mons023$:
	db	023			; old number = 108
	db	035			; hit point(max)
	db	060			; attack point
	db	044			; defence ratio
	db	055			; quick ratio
	db	040			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	255			; obtain ratio
	db	062			; experience value
	db	055h			; Monster yx size
	dw	monschr108		; BitImage data (front)
	dw	monschr108b		; BitImage data (back)
	db	035			; skill 1
	db	043			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000011b, 00011000b, 11001110b
	db	10000010b, 10001000b, 00100010b, 00000000b

mons024$:
	db	024			; old number = 045
	db	060			; hit point(max)
	db	085			; attack point
	db	069			; defence ratio
	db	080			; quick ratio
	db	065			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	090			; obtain ratio
	db	147			; experience value
	db	077h			; Monster yx size
	dw	monschr45		; BitImage data (front)
	dw	monschr45b		; BitImage data (back)
	db	035			; skill 1
	db	043			; skill 2
	db	040			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000011b, 00011000b, 11001110b
	db	10000010b, 10001000b, 00100010b, 00000000b

mons025$:
	db	025			; old number = 084
	db	035			; hit point(max)
	db	055			; attack point
	db	030			; defence ratio
	db	090			; quick ratio
	db	050			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	190			; obtain ratio
	db	082			; experience value
	db	055h			; Monster yx size
	dw	monschr84		; BitImage data (front)
	dw	monschr84b		; BitImage data (back)
	db	084			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 10000011b, 10001101b, 11000001b
	db	11000011b, 00011000b, 01000010b, 00000000b

mons026$:
	db	026			; old number = 085
	db	060			; hit point(max)
	db	090			; attack point
	db	055			; defence ratio
	db	100			; quick ratio
	db	090			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	075			; obtain ratio
	db	122			; experience value
	db	077h			; Monster yx size
	dw	monschr85		; BitImage data (front)
	dw	monschr85b		; BitImage data (back)
	db	084			; skill 1
	db	045			; skill 2
	db	086			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 11000011b, 10001101b, 11000001b
	db	11000011b, 00011000b, 01000010b, 00000000b

mons027$:
	db	027			; old number = 096
	db	050			; hit point(max)
	db	075			; attack point
	db	085			; defence ratio
	db	040			; quick ratio
	db	030			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	255			; obtain ratio
	db	093			; experience value
	db	055h			; Monster yx size
	dw	monschr96		; BitImage data (front)
	dw	monschr96b		; BitImage data (back)
	db	010			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 00000011b, 00001101b, 11001110b
	db	11000010b, 10001000b, 00100110b, 00000000b

mons028$:
	db	028			; old number = 097
	db	075			; hit point(max)
	db	100			; attack point
	db	110			; defence ratio
	db	065			; quick ratio
	db	055			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	090			; obtain ratio
	db	163			; experience value
	db	066h			; Monster yx size
	dw	monschr97		; BitImage data (front)
	dw	monschr97b		; BitImage data (back)
	db	010			; skill 1
	db	028			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 01000011b, 00001101b, 11001110b
	db	11000010b, 10001000b, 00100110b, 00000000b

mons029$:
	db	029			; old number = 015
	db	055			; hit point(max)
	db	047			; attack point
	db	052			; defence ratio
	db	041			; quick ratio
	db	040			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	235			; obtain ratio
	db	059			; experience value
	db	055h			; Monster yx size
	dw	monschr15		; BitImage data (front)
	dw	monschr15b		; BitImage data (back)
	db	045			; skill 1
	db	033			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100000b, 00100011b, 10001000b, 11000001b
	db	10000011b, 00001000b, 00000010b, 00000000b

mons030$:
	db	030			; old number = 168
	db	070			; hit point(max)
	db	062			; attack point
	db	067			; defence ratio
	db	056			; quick ratio
	db	055			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	120			; obtain ratio
	db	117			; experience value
	db	066h			; Monster yx size
	dw	monschr168		; BitImage data (front)
	dw	monschr168b		; BitImage data (back)
	db	045			; skill 1
	db	033			; skill 2
	db	010			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	11100000b, 00111111b, 10001000b, 11000001b
	db	10000011b, 00001000b, 00000010b, 00000000b

mons031$:
	db	031			; old number = 016
	db	090			; hit point(max)
	db	082			; attack point
	db	087			; defence ratio
	db	076			; quick ratio
	db	075			; special ability
	db	POISON_TYPE
	db	JIMEN_TYPE
	db	045			; obtain ratio
	db	194			; experience value
	db	077h			; Monster yx size
	dw	monschr16		; BitImage data (front)
	dw	monschr16b		; BitImage data (back)
	db	033			; skill 1
	db	010			; skill 2
	db	039			; skill 3
	db	034			; skill 4
	db	003			; pttern of experience
	db	11110001b, 11111111b, 10001111b, 11000111b
	db	10100011b, 10001000b, 00110010b, 00000000b

mons032$:
	db	032			; old number = 003
	db	046			; hit point(max)
	db	057			; attack point
	db	040			; defence ratio
	db	050			; quick ratio
	db	040			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	235			; obtain ratio
	db	060			; experience value
	db	055h			; Monster yx size
	dw	monschr03		; BitImage data (front)
	dw	monschr03b		; BitImage data (back)
	db	043			; skill 1
	db	033			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	11100000b, 00100011b, 10001000b, 11000001b
	db	10000011b, 00001000b, 00000010b, 00000000b

mons033$:
	db	033			; old number = 167
	db	061			; hit point(max)
	db	072			; attack point
	db	057			; defence ratio
	db	065			; quick ratio
	db	055			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	120			; obtain ratio
	db	118			; experience value
	db	066h			; Monster yx size
	dw	monschr167		; BitImage data (front)
	dw	monschr167b		; BitImage data (back)
	db	043			; skill 1
	db	033			; skill 2
	db	030			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	11100000b, 00111111b, 10001000b, 11000001b
	db	10000011b, 00001000b, 00000010b, 00000000b

mons034$:
	db	034			; old number = 007
	db	081			; hit point(max)
	db	092			; attack point
	db	077			; defence ratio
	db	085			; quick ratio
	db	075			; special ability
	db	POISON_TYPE
	db	JIMEN_TYPE
	db	045			; obtain ratio
	db	195			; experience value
	db	077h			; Monster yx size
	dw	monschr07		; BitImage data (front)
	dw	monschr07b		; BitImage data (back)
	db	033			; skill 1
	db	030			; skill 2
	db	040			; skill 3
	db	037			; skill 4
	db	003			; pttern of experience
	db	11110001b, 11111111b, 10001111b, 11000111b
	db	10100011b, 10001000b, 00110010b, 00000000b

mons035$:
	db	035			; old number = 004
	db	070			; hit point(max)
	db	045			; attack point
	db	048			; defence ratio
	db	035			; quick ratio
	db	060			; special ability
	db	000
	db	000
	db	150			; obtain ratio
	db	068			; experience value
	db	055h			; Monster yx size
	dw	monschr04		; BitImage data (front)
	dw	monschr04b		; BitImage data (back)
	db	001			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	004			; pttern of experience
	db	10110001b, 00111111b, 10101111b, 11110001b
	db	10100111b, 00111000b, 01100011b, 00000000b

mons036$:
	db	036			; old number = 142
	db	095			; hit point(max)
	db	070			; attack point
	db	073			; defence ratio
	db	060			; quick ratio
	db	085			; special ability
	db	000
	db	000
	db	025			; obtain ratio
	db	129			; experience value
	db	066h			; Monster yx size
	dw	monschr142		; BitImage data (front)
	dw	monschr142b		; BitImage data (back)
	db	047			; skill 1
	db	003			; skill 2
	db	107			; skill 3
	db	118			; skill 4
	db	004			; pttern of experience
	db	10110001b, 01111111b, 10101111b, 11110001b
	db	10100111b, 00111000b, 01100011b, 00000000b

mons037$:
	db	037			; old number = 082
	db	038			; hit point(max)
	db	041			; attack point
	db	040			; defence ratio
	db	065			; quick ratio
	db	065			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	190			; obtain ratio
	db	063			; experience value
	db	066h			; Monster yx size
	dw	monschr82		; BitImage data (front)
	dw	monschr82b		; BitImage data (back)
	db	052			; skill 1
	db	039			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000011b, 00001000b, 11001000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons038$:
	db	038			; old number = 083
	db	073			; hit point(max)
	db	076			; attack point
	db	075			; defence ratio
	db	100			; quick ratio
	db	100			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	075			; obtain ratio
	db	178			; experience value
	db	077h			; Monster yx size
	dw	monschr83		; BitImage data (front)
	dw	monschr83b		; BitImage data (back)
	db	052			; skill 1
	db	039			; skill 2
	db	098			; skill 3
	db	046			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000011b, 00001000b, 11001000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons039$:
	db	039			; old number = 100
	db	115			; hit point(max)
	db	045			; attack point
	db	020			; defence ratio
	db	020			; quick ratio
	db	025			; special ability
	db	000
	db	000
	db	170			; obtain ratio
	db	076			; experience value
	db	055h			; Monster yx size
	dw	monschr100		; BitImage data (front)
	dw	monschr100b		; BitImage data (back)
	db	047			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	004			; pttern of experience
	db	10110001b, 00111111b, 10101111b, 11110001b
	db	10100011b, 00111000b, 01100011b, 00000000b

mons040$:
	db	040			; old number = 101
	db	140			; hit point(max)
	db	070			; attack point
	db	045			; defence ratio
	db	045			; quick ratio
	db	050			; special ability
	db	000
	db	000
	db	050			; obtain ratio
	db	109			; experience value
	db	066h			; Monster yx size
	dw	monschr101		; BitImage data (front)
	dw	monschr101b		; BitImage data (back)
	db	047			; skill 1
	db	050			; skill 2
	db	111			; skill 3
	db	003			; skill 4
	db	004			; pttern of experience
	db	10110001b, 01111111b, 10101111b, 11110001b
	db	10100011b, 00111000b, 01100011b, 00000000b

mons041$:
	db	041			; old number = 107
	db	040			; hit point(max)
	db	045			; attack point
	db	035			; defence ratio
	db	055			; quick ratio
	db	040			; special ability
	db	POISON_TYPE
	db	HIKOU_TYPE
	db	255			; obtain ratio
	db	054			; experience value
	db	055h			; Monster yx size
	dw	monschr107		; BitImage data (front)
	dw	monschr107b		; BitImage data (back)
	db	141			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00101010b, 00000011b, 00011000b, 11000000b
	db	01000010b, 00001000b, 00000010b, 00000000b

mons042$:
	db	042			; old number = 130
	db	075			; hit point(max)
	db	080			; attack point
	db	070			; defence ratio
	db	090			; quick ratio
	db	075			; special ability
	db	POISON_TYPE
	db	HIKOU_TYPE
	db	090			; obtain ratio
	db	171			; experience value
	db	077h			; Monster yx size
	dw	monschr130		; BitImage data (front)
	dw	monschr130b		; BitImage data (back)
	db	141			; skill 1
	db	103			; skill 2
	db	044			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00101010b, 01000011b, 00011000b, 11000000b
	db	01000010b, 00001000b, 00000010b, 00000000b

mons043$:
	db	043			; old number = 185
	db	045			; hit point(max)
	db	050			; attack point
	db	055			; defence ratio
	db	030			; quick ratio
	db	075			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	255			; obtain ratio
	db	078			; experience value
	db	055h			; Monster yx size
	dw	monschr185		; BitImage data (front)
	dw	monschr185b		; BitImage data (back)
	db	071			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons044$:
	db	044			; old number = 186
	db	060			; hit point(max)
	db	065			; attack point
	db	070			; defence ratio
	db	040			; quick ratio
	db	085			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	120			; obtain ratio
	db	132			; experience value
	db	066h			; Monster yx size
	dw	monschr186		; BitImage data (front)
	dw	monschr186b		; BitImage data (back)
	db	071			; skill 1
	db	077			; skill 2
	db	078			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons045$:
	db	045			; old number = 187
	db	075			; hit point(max)
	db	080			; attack point
	db	085			; defence ratio
	db	050			; quick ratio
	db	100			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	184			; experience value
	db	077h			; Monster yx size
	dw	monschr187		; BitImage data (front)
	dw	monschr187b		; BitImage data (back)
	db	078			; skill 1
	db	079			; skill 2
	db	051			; skill 3
	db	080			; skill 4
	db	003			; pttern of experience
	db	10100100b, 01000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons046$:
	db	046			; old number = 109
	db	035			; hit point(max)
	db	070			; attack point
	db	055			; defence ratio
	db	025			; quick ratio
	db	055			; special ability
	db	MUSHI_TYPE
	db	KUSA_TYPE
	db	190			; obtain ratio
	db	070			; experience value
	db	055h			; Monster yx size
	dw	monschr109		; BitImage data (front)
	dw	monschr109b		; BitImage data (back)
	db	010			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 00000011b, 00111000b, 11001000b
	db	10000011b, 00001000b, 00000110b, 00000000b

mons047$:
	db	047			; old number = 046
	db	060			; hit point(max)
	db	095			; attack point
	db	080			; defence ratio
	db	030			; quick ratio
	db	080			; special ability
	db	MUSHI_TYPE
	db	KUSA_TYPE
	db	075			; obtain ratio
	db	128			; experience value
	db	077h			; Monster yx size
	dw	monschr46		; BitImage data (front)
	dw	monschr46b		; BitImage data (back)
	db	010			; skill 1
	db	078			; skill 2
	db	141			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 01000011b, 00111000b, 11001000b
	db	10000011b, 00001000b, 00000110b, 00000000b

mons048$:
	db	048			; old number = 065
	db	060			; hit point(max)
	db	055			; attack point
	db	050			; defence ratio
	db	045			; quick ratio
	db	040			; special ability
	db	MUSHI_TYPE
	db	POISON_TYPE
	db	190			; obtain ratio
	db	075			; experience value
	db	055h			; Monster yx size
	dw	monschr65		; BitImage data (front)
	dw	monschr65b		; BitImage data (back)
	db	033			; skill 1
	db	050			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 00000011b, 00111000b, 11010000b
	db	00000011b, 00101000b, 00000010b, 00000000b

mons049$:
	db	049			; old number = 119
	db	070			; hit point(max)
	db	065			; attack point
	db	060			; defence ratio
	db	090			; quick ratio
	db	090			; special ability
	db	MUSHI_TYPE
	db	POISON_TYPE
	db	075			; obtain ratio
	db	138			; experience value
	db	077h			; Monster yx size
	dw	monschr119		; BitImage data (front)
	dw	monschr119b		; BitImage data (back)
	db	033			; skill 1
	db	050			; skill 2
	db	077			; skill 3
	db	141			; skill 4
	db	000			; pttern of experience
	db	00101010b, 01000011b, 00111000b, 11110000b
	db	01000011b, 00101000b, 00000010b, 00000000b

mons050$:
	db	050			; old number = 059
	db	010			; hit point(max)
	db	055			; attack point
