; 05/29/98		20:07:53
_tanpan$:
	db	27,24,24,27,92,155,0			; 08
	db	31,23,139,0			; 09
	db	35,27,0			; 10
	db	28,92,92,93,92,0			; 11
	db	33,93,155,0			; 12
	db	37,152,0			; 13
	db	33,27,179,0			; 14
	db	32,110,24,93,0			; 15
_skin$:
	db	28,106,57,106,0			; 01
	db	29,57,106,0			; 02
	db	33,106,0			; 03
	db	29,57,117,0			; 04
	db	29,106,41,0			; 05
	db	33,41,0			; 06
	db	26,57,57,41,106,0			; 07
	db	29,117,41,0			; 08
	db	31,24,24,155,0			; 09
_gamble$:
	db	18,71,92,0			; 01
	db	18,188,185,0			; 02
	db	18,6,173,0			; 03
	db	18,33,82,0			; 04
	db	22,71,71,110,0			; 05
	db	22,34,169,39,0			; 06
	db	24,33,82,0			; 07
_lady$:
	db	21,185,188,185,188,0			; 01
	db	24,188,188,0			; 02
	db	26,12,0			; 03
	db	27,165,82,165,0			; 04
	db	29,4,77,0			; 05
	db	35,158,0			; 06
	db	30,23,23,139,0			; 07
	db	31,71,158,0			; 08
	db	29,150,101,0			; 09
	db	29,153,9,0			; 10
	db	33,189,0188,189,0			; 11
	db	27,71,157,158,157,71,0			; 12
	db	30,157,158,0			; 13
	db	29,27,27,27,0			; 14
	db	30,93,92,93,0			; 15
_esp$:
	db	31,38,37,42,38,0			; 01
	db	34,42,38,0			; 02
	db	33,37,37,8,0			; 03
	db	38,8,0			; 04
_groove$:
	db	20,6,6,6,0			; 01
	db	29,6,141,0			; 02
_gypsy$:
	db	29,38,42,0			; 01
	db	41,48,129,38,38,0			; 02
	db	31,48,48,38,48,0			; 03
	db	34,48,129,0			; 04
	db	48,42,0			; 05
	db	33,129,0			; 06
	db	38,129,0			; 07
	db	34,48,38,0			; 08
_circus$:
	db	34,97,45,0			; 01
	db	33,45,97,45,0			; 02
	db	43,18,0			; 03
	db	39,45,60,0			; 04
	db	44,144,128,0			; 05
	db	42,18,117,45,60,0			; 06
_bird$:
	db	29,36,150,0			; 01
	db	25,5,36,36,5,5,0			; 02
	db	26,36,150,5,35,0			; 03
	db	33,64,0			; 04
	db	29,5,35,0			; 05
	db	26,150,64,70,36,0			; 06
	db	28,116,70,70,0			; 07
	db	29,5,35,0			; 08
	db	34,116,0			; 09
	db	26,5,5,35,5,0			; 10
	db	30,35,35,150,0			; 11
	db	39,150,150,36,150,0			; 12
	db	42,64,35,0			; 13
	db	28,36,70,150,0			; 14
	db	26,36,5,36,35,0			; 15
	db	29,150,35,0			; 16
	db	28,5,70,35,0			; 17
_karate$:
	db	37,43,44,0			; 01
	db	31,57,57,117,0			; 02
	db	32,106,41,0			; 03
	db	36,117,0			; 04
	db	31,106,57,117,0			; 05
	db	40,106,41,0			; 06
	db	43,41,0			; 07
	db	38,41,106,41,0			; 08
	db	43,41,106,41,0			; 09
_rival$:
	db	05,102,0			; 01
	db	255,09,5,08,102,0			; 02
	db	255,18,5,15,96,15,165,17,102,0			; 03
_okido$:
	db	255,66,60,67,10,68,20,69,28,70,22,0			; 01
	db	255,66,60,67,10,68,20,69,154,70,22,0			; 02
	db	255,66,60,67,10,68,20,69,180,70,22,0			; 03
_sylph_chief$:
_sylph_worker$:
	db	34,55,6,0			; 01
	db	26,13,143,55,143,0			; 02
	db	28,173,6,54,0			; 03
	db	29,141,143,0			; 04
	db	33,141,0			; 05
	db	26,54,55,143,173,0			; 06
	db	25,6,55,54,173,55,0			; 07
	db	29,141,136,0			; 08
	db	29,13,141,0			; 09
	db	28,6,55,54,0			; 10
	db	29,173,55,0			; 11
	db	33,173,54,6,0			; 12
	db	34,173,141,0			; 13
_b_procket$:
	db	255,25,34,24,18,29,144,0			; 01
	db	255,37,167,35,144,37,18,41,16,0			; 02
	db	255,50,118,53,144,53,16,55,7,55,1,0			; 03
_member$:
	db	13,165,107,0			; 01
	db	11,96,165,107,0			; 02
	db	12,107,108,0			; 03
	db	16,166,0			; 04
	db	17,106,48,0			; 05
	db	15,108,107,0			; 06
	db	20,166,107,0			; 07
	db	21,48,106,0			; 08
	db	21,166,166,0			; 09
	db	20,13,55,55,0			; 10
	db	19,165,166,166,165,0			; 11
	db	22,13,55,0			; 12
	db	17,107,55,13,107,166,0			; 13
	db	20,165,166,48,0			; 14
	db	21,106,106,0			; 15
	db	23,96,108,97,0			; 16
	db	23,108,96,45,0			; 17
	db	21,55,107,0			; 18
	db	25,107,107,130,0			; 19
	db	26,55,48,0			; 20
	db	23,107,165,166,107,0			; 21
	db	26,48,55,0			; 22
	db	29,17,107,0			; 23
	db	25,130,107,107,166,107,0			; 24
	db	28,166,129,166,0			; 25
	db	29,106,48,0			; 26
	db	28,108,107,17,0			; 27
	db	33,45,0			; 28
	db	33,129,0			; 29
	db	29,106,41,0			; 30
	db	28,107,107,130,0			; 31
	db	26,166,45,55,130,0			; 32
	db	29,17,17,0			; 33
	db	29,96,97,0			; 34
	db	26,166,107,130,165,0			; 35
	db	28,143,130,55,0			; 36
	db	28,48,13,106,0			; 37
	db	28,130,48,129,0			; 38
	db	33,41,0			; 39
	db	25,165,165,107,165,108,0			; 40
	db	32,17,48,145,0			; 41
	db	14,108,77,55,0			; 42
	db	25,55,77,108,0			; 43
	db	27,77,45,143,0			; 44
	db	31,143,45,77,0			; 45
	db	16,55,0			; 46
	db	27,55,0			; 47
	db	29,143,0			; 48
	db	33,143,0			; 49
_elite_m$:
	db	39,167,7,0			; 01
	db	43,10,139,20,0			; 02
	db	43,138,155,28,0			; 03
	db	45,138,152,0			; 04
	db	42,9,179,178,180,0			; 05
	db	44,9,179,178,0			; 06
	db	49,7,0			; 07
	db	44,138,139,0			; 08
	db	39,97,118,0			; 09
	db	43,18,0			; 10
_elite_w$:
	db	24,189,186,9,0			; 01
	db	43,188,189,190,0			; 02
	db	43,46,120,40,0			; 03
	db	46,187,125,0			; 04
	db	44,144,83,0			; 05
	db	45,9,154,0			; 06
	db	45,168,16,0			; 07
	db	43,144,83,85,0			; 08
_shiba$:
	db	255,53,34,55,44,55,43,56,34,58,126,0			; 01
_takesi$:
	db	255,10,169,12,34,0			; 01
_kasumi$:
	db	255,18,27,21,152,0			; 01
_matisu$:
	db	255,28,85,0			; 01
_erika$:
	db	255,30,30,32,189,32,186,0			; 01
_kiyou$:
	db	255,44,65,46,65,48,65,50,119,0			; 01
_katura$:
	db	255,48,83,50,164,54,20,0			; 01
_natume$:
	db	255,50,148,50,38,50,149,0			; 01
_estrange$:
	db	18,33,33,0			; 01
	db	19,3,15,0			; 02
	db	22,6,173,0			; 03
	db	48,117,0			; 04
	db	17,33,163,0			; 05
_rival2$:
	db	255,19,5,16,165,18,96,20,102,0			; 01
	db	255,25,35,23,23,22,82,20,96,25,102,0			; 02
	db	255,25,35,23,173,22,23,20,96,25,102,0			; 03
	db	255,25,35,23,82,22,173,20,96,25,102,0			; 04
	db	255,38,97,35,83,37,139,35,38,40,104,0			; 05
	db	255,38,97,35,139,37,54,35,38,40,103,0			; 06
	db	255,38,97,35,54,37,83,35,38,40,105,0			; 07
	db	255,47,97,45,12,45,83,47,139,50,38,53,104,0			; 08
	db	255,47,97,45,12,45,139,47,54,50,38,53,103,0			; 09
	db	255,47,97,45,12,45,54,47,83,50,38,53,105,0			; 10
_rival3$:
	db	255,61,97,59,149,61,10,61,139,63,83,65,104,0			; 01
	db	255,61,97,59,149,61,10,61,54,63,139,65,103,0			; 02
	db	255,61,97,59,149,61,10,61,83,63,54,65,105,0			; 03
_kanna$:
	db	255,54,120,53,139,54,8,56,72,56,19,0			; 01
_prayer$:
	db	22,25,0			; 01
	db	24,25,0			; 02
	db	23,25,25,0			; 03
	db	24,25,0			; 04
	db	23,25,0			; 05
	db	24,25,0			; 06
	db	24,147,0			; 07
	db	22,25,0			; 08
	db	24,25,0			; 09
	db	23,25,25,0			; 10
	db	24,25,0			; 11
	db	22,25,0			; 12
	db	24,25,0			; 13
	db	23,147,0			; 14
	db	24,25,0			; 15
	db	22,25,0			; 16
	db	24,25,0			; 17
	db	22,147,0			; 18
	db	22,25,25,25,0			; 19
	db	24,25,0			; 20
	db	24,25,0			; 21
	db	34,25,147,0			; 22
	db	38,147,0			; 23
	db	33,25,25,147,0			; 24
_kikuko$:
	db	255,56,14,56,130,55,147,58,45,60,14,0			; 01
_wataru$:
	db	255,58,22,56,89,56,89,60,171,62,66,0			; 01
