; タケシカスミマチスエリカキョウナツメカツラ－－－ポケモンバッジ●
 ifn  pm_jmsg
	db	000h,000h,07Ah,07Ah,04Bh,04Bh,07Ah,07Ah	; 0
	db	002h,002h,005h,005h,012h,012h,07Ch,07Ch	;10
	db	010h,010h,054h,054h,054h,054h,000h,000h
	db	000h,000h,000h,000h,083h,083h,0F9h,0F9h	;11
	db	093h,093h,011h,011h,020h,020h,000h,000h
	db	000h,000h,000h,000h,0E0h,0E0h,00Ch,00Ch	;12
	db	0E0h,0E0h,001h,001h,0EEh,0EEh,000h,000h
	db	001h,001h,001h,001h,000h,000h,085h,085h	;13
	db	085h,085h,008h,008h,008h,008h,000h,000h
	db	040h,040h,040h,040h,000h,000h,000h,000h	;14
	db	02Ah,02Ah,0AAh,0AAh,082h,082h,00Ch,00Ch
	db	00Ah,00Ah,00Ah,00Ah,0C0h,0C0h,008h,008h	;15
	db	0C8h,0C8h,010h,010h,0E0h,0E0h,000h,000h
	db	000h,000h,000h,000h,038h,000h,07Ch,000h	;16
	db	07Ch,000h,07Ch,000h,038h,000h,000h,000h
 else
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
;;	db	$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
	db	000h,000h,000h,000h,038h,000h,07Ch,000h	;16 ●
	db	07Ch,000h,07Ch,000h,038h,000h,000h,000h
 endif

